"","Product.type","MalagasyName","EnglishName","LocalName","ScientificName","FinalName"
"5330","H","Horita","Octopus","","","Horita"
"5331","FBODOLOHA","Fia Bodoloha","Blue Barred parrotfish/ scarus ghobban","BODOLOHA","HIPPOSCARUS HARID, SCARUS PRASIOGNATHUS, SCARUS NIGER, CALOTOMUS SPINIDENS, SCARUS GHOBBAN, CALOTOMUS CAROLINUS, CHLORURUS STRONGYLOCEPHALUS, SCARUS TRICOLOR, SCARUS SCABER, SCARUS RUSSELLI, SCARUS RUBROVIOLACEUS, SCARUS PSITTACUS, SCARUS FRENATUS, CHLORURUS SORDIDUS, CHLORURUS ATRILUNULA, CETOSCARUS BICOLOR, THALASSOMA QUINQUEVITTATUM, SCARUS GHOBBAN<A0>, SCARUS CAUDOFASCIATUS, POMACENTRUS PAVO, PRISTOTIS OBTUSIROSTRIS","BODOLOHA"
"5332","BOZIKE JOKA","Bozike","Chicoreus ramosus","","","Bozike"
"5333","FMANDRENDRE","Fia Mandredre","","","","Fia Mandredre"
"5334","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5335","H","Horita","Octopus","","","Horita"
"5336","H","Horita","Octopus","","","Horita"
"5337","FMENA BEMASO","Fia Mena","Squirrelfish, Holocentrinae","","","Fia Mena"
"5338","H","Horita","Octopus","","","Horita"
"5339","FTSIFA","Fiantsifa","Naso unicornis","","","Fiantsifa"
"5340","FBODOLOHA","Fia Bodoloha","Blue Barred parrotfish/ scarus ghobban","BODOLOHA","HIPPOSCARUS HARID, SCARUS PRASIOGNATHUS, SCARUS NIGER, CALOTOMUS SPINIDENS, SCARUS GHOBBAN, CALOTOMUS CAROLINUS, CHLORURUS STRONGYLOCEPHALUS, SCARUS TRICOLOR, SCARUS SCABER, SCARUS RUSSELLI, SCARUS RUBROVIOLACEUS, SCARUS PSITTACUS, SCARUS FRENATUS, CHLORURUS SORDIDUS, CHLORURUS ATRILUNULA, CETOSCARUS BICOLOR, THALASSOMA QUINQUEVITTATUM, SCARUS GHOBBAN<A0>, SCARUS CAUDOFASCIATUS, POMACENTRUS PAVO, PRISTOTIS OBTUSIROSTRIS","BODOLOHA"
"5341","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5342","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5343","H","Horita","Octopus","","","Horita"
"5344","LAMERA","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5345","H","Horita","Octopus","","","Horita"
"5346","H","Horita","Octopus","","","Horita"
"5347","H","Horita","Octopus","","","Horita"
"5348","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5349","H","Horita","Octopus","","","Horita"
"5350","H","Horita","Octopus","","","Horita"
"5351","H","Horita","Octopus","","","Horita"
"5352","FRARA","Fay rara","","","","Fay rara"
"5353","FVORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5354","FVARIVIKE"," Varevike","","",""," Varevike"
"5355","FVARIVIKE"," Varevike","","",""," Varevike"
"5356","FVORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5357","FALOALO","Fia Aloalo","Great Barracuda, Sphyaena bararcuda","","","Fia Aloalo"
"5358","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5359","H","Horita","Octopus","","","Horita"
"5360","FBONDRO","Fia Bondro","","","","Fia Bondro"
"5361","H","Horita","Octopus","","","Horita"
"5362","H","Horita","Octopus","","","Horita"
"5363","H","Horita","Octopus","","","Horita"
"5364","H","Horita","Octopus","","","Horita"
"5365","FVORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5366","H","Horita","Octopus","","","Horita"
"5367","FTSAMEARENE","Fia Tsamearene?","","","","Fia Tsamearene?"
"5368","FTSIFA","Fiantsifa","Naso unicornis","","","Fiantsifa"
"5369","L","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5370","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5371","FVORAMASAKE","Voramasake","","VORAMASAKE,VORAMASAEKE","SIGANUS SUTOR, SIGANUS STELLATUS, SIGANUS SUTOR<A0>, SIGANUS NETOR","VORAMASAKE,VORAMASAEKE"
"5372","H","Horita","Octopus","","","Horita"
"5373","",NA,NA,NA,NA,NA
"5374","H","Horita","Octopus","","","Horita"
"5375","H","Horita","Octopus","","","Horita"
"5376","H","Horita","Octopus","","","Horita"
"5377","H","Horita","Octopus","","","Horita"
"5378","FTSOYMALINIKY","Fia Tsoy","Mulloides auriflamma","TSOY","MULLOIDICHTHYS FLAVOLINEATUS, MULLOIDICHTHYS VANICAULEUSIS","TSOY"
"5379","H","Horita","Octopus","","","Horita"
"5380","H","Horita","Octopus","","","Horita"
"5381","FTSABEAKE","","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHRINUS NEBULOSUS, LETHEINUS NEBULOSUS","TSABEAKE"
"5382","FANGELIKE","Fia Angelike","Sky emperor","ANGELEKE,ANGELIKE","LETHRINUS MAHSENA, LETHRINUS LENTJAN, LETHEINUS MAHSENA, LETHEINUS LENTJAN, LETHRINUS MASHENA","ANGELEKE,ANGELIKE"
"5383","FBONDRO","Fia Bondro","","","","Fia Bondro"
"5384","H","Horita","Octopus","","","Horita"
"5385","H","Horita","Octopus","","","Horita"
"5386","H","Horita","Octopus","","","Horita"
"5387","H","Horita","Octopus","","","Horita"
"5388","FMANDREDRE","Fia Mandredre","","","","Fia Mandredre"
"5389","H","Horita","Octopus","","","Horita"
"5390","H","Horita","Octopus","","","Horita"
"5391","H","Horita","Octopus","","","Horita"
"5392","H","Horita","Octopus","","","Horita"
"5393","BOZIKE JONKA","Bozike","Chicoreus ramosus","","","Bozike"
"5394","H","Horita","Octopus","","","Horita"
"5395","H","Horita","Octopus","","","Horita"
"5396","FTSOY","Fia Tsoy","Mulloides auriflamma","TSOY","MULLOIDICHTHYS FLAVOLINEATUS, MULLOIDICHTHYS VANICAULEUSIS","TSOY"
"5397","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5398","L","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5399","FFOTIHOHY","Fay Foty","Smalltooth sand tiger or dusky shark/ Odontaspis ferox or Carcharhinus obscurus","","","Fay Foty"
"5400","H","Horita","Octopus","","","Horita"
"5401","FTOHO","Fia Toho","Duckbill sleeper or freshwater goby or speckled goby/ Butis butis or awaous aeneofuscus or redigobius bikolanus","","","Fia Toho"
"5402","H","Horita","Octopus","","","Horita"
"5403","H","Horita","Octopus","","","Horita"
"5404","FTABAKE","Fia Tabaky/ Fia Tsabeake","Ember parrotfish/ scarus rubroviolaceus","TABAKE","AROTHRON NIGROPUNCTATUS","TABAKE"
"5405","H","Horita","Octopus","","","Horita"
"5406","H","Horita","Octopus","","","Horita"
"5407","H","Horita","Octopus","","","Horita"
"5408","H","Horita","Octopus","","","Horita"
"5409","H","Horita","Octopus","","","Horita"
"5410","H","Horita","Octopus","","","Horita"
"5411","H","Horita","Octopus","","","Horita"
"5412","H","Horita","Octopus","","","Horita"
"5413","H","Horita","Octopus","","","Horita"
"5414","FBODOLOHA","Fia Bodoloha","Blue Barred parrotfish/ scarus ghobban","BODOLOHA","HIPPOSCARUS HARID, SCARUS PRASIOGNATHUS, SCARUS NIGER, CALOTOMUS SPINIDENS, SCARUS GHOBBAN, CALOTOMUS CAROLINUS, CHLORURUS STRONGYLOCEPHALUS, SCARUS TRICOLOR, SCARUS SCABER, SCARUS RUSSELLI, SCARUS RUBROVIOLACEUS, SCARUS PSITTACUS, SCARUS FRENATUS, CHLORURUS SORDIDUS, CHLORURUS ATRILUNULA, CETOSCARUS BICOLOR, THALASSOMA QUINQUEVITTATUM, SCARUS GHOBBAN<A0>, SCARUS CAUDOFASCIATUS, POMACENTRUS PAVO, PRISTOTIS OBTUSIROSTRIS","BODOLOHA"
"5415","H","Horita","Octopus","","","Horita"
"5416","H","Horita","Octopus","","","Horita"
"5417","H","Horita","Octopus","","","Horita"
"5418","H","Horita","Octopus","","","Horita"
"5419","H","Horita","Octopus","","","Horita"
"5420","H","Horita","Octopus","","","Horita"
"5421","LAMERA","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5422","L","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5423","FMANGERELAVENOKE","","Fish","","","Fish"
"5424","FTSIFA","Fiantsifa","Naso unicornis","","","Fiantsifa"
"5425","L","Lamera","eel","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA","GYMNOTHORAX JAVANICUS, GYMNOMURAENA ZEBRA, ECHIDNA NEBULOSA, GYMNOTORAX JAVANICUS","LAMAIRA,LAMAIRAKINA,LAMAIRA FESOTSE AMBATO,LAMAIRA KINA,LAMAIRANKENA"
"5426","FTSIRIMPAOSA","Fia Tsiripoasa?","","","","Fia Tsiripoasa?"
"5427","H","Horita","Octopus","","","Horita"
"5428","FLOVOHARA","Fia Lovo","Bluespotted or coral grouper / cephalopholis argus or cephalopholis miniata","LOVO","EPINEPHELUS FUSCOGUTTATUS, CEPHALOPHOLIS SEXMACULATA, CEPHALOPHOLIS MINIATA, ANYPERADON LEUCOGRAMMICUS, EPINEPHELUS CAERULEOPUNCTATUS, EPINEPHELUS FASCIATUS, PLECTROPOMUS PUNCTATUS, CEPHALOPHOLIS URODETA, CEPHALOPHOLIS SONNERATI, PLECTROPOMUS LAEVIS, EPINEPHELUS MULTINOTATUS, PLECTORHINCHUS ALBOVITTATUS, ANYPERODON LEUCOGRAMMICUS, CEPHALOPHOLIS SONNERATI<A0>, PLECTOPOMUS PUNCTATUS, PLECTOPOMUS LAEVIS, PLECTORHINCHUS ALBOVITATUS","LOVO"
"5429","HNAKORA","Horita nakora","Octopus aegina","","","Horita nakora"
"5430","H","Horita","Octopus","","","Horita"
