"","Word_Malagasy"
"662","F.T Zanga"
"663","Bozike "
"664","TS.k Zanga"
"665","drakake"
"666","Moroy "
"667","drange"
"668","drango"
"669","Rara Fay"
"670","Z.FOTITSETSAKE"
"671","Z.JOMALY"
"672","VOLOSO"
"673","Z.TSOKENA"
"674","Z.BENONO"
"675","DRANGO"
"676","F.TSONTSO"
"677","BOZIKE JONKA"
"678","FAY FOTY"
"679","KABOKINA"
"680","Z.DORLISY"
"681","TANDALY"
"682","Z.TRIKITERE"
"683","Z.TSO2"
"684","F.KABOKE"
"685","Z.TSOHENA"
"686","fia"
"687","boziky"
"688","sanga"
"689","zomaly"
"690","tsontso"
"691","toho"
"692","gogo"
"693","soroboa"
"694","Lamatra"
"695","sohaba"
"696","soke"
"697","horita"
"698","zana"
"699","zaga"
"700","fay"
"701","valala"
"702","angisy"
"703","benono"
"704","Zanga dorolisy"
"705","votsoda"
"706","tsoka"
"707","katsa"
"708","zanga trokena"
"709","lapo"
"710","Angindolo"
"711","kabo"
"712","fia lame"
"713","dorote"
"714","F.tsifa"
"715","fa gitara"
"716","F.mainte"
"717","tsabeaky"
"718","drakaky"
"719","F.angy"
"720","tsitsiky"
"721","lovobe"
"722","F.tabake"
"723","zanga dorolisy"
"724","lanatra"
"725","haby"
"726","ledrale"
"727","zangabenono"
"728","Zanga dorilisy"
"729","zanga F.TS"
"730","zamaly Z.M"
"731","zanga Z.M"
"732",""
"733","zanga BENONO"
"734","ZANGA"
"735","10000"
"736","BOZIKE"
"737","FIA"
"738","ZOMALY"
"739","DOROLISY"
"740","BENONO"
"741","BEJA"
"742","BETAMPY"
"743","ZANGA BOROSY"
"744","HIMA"
"745","TOHO"
"746","SOKY"
"747","ANTSIVA"
"748","LAMERA"
"749","BETAMPE"
"750","DORILISY"
"751","JONKA"
"752","KOKIAZY"
"753","4"
"754","DRAGON"
"755","Boziky"
"756","zanga"
"757","Zanga foty"
"758","zanga zomaly"
"759","Zanga benono"
"760","Zanga tsokena"
"761","Beja"
"762","zanga   "
"763","Zanga dorlisy"
"764","zanga benono"
"765","zanga folera"
"766","Zanga zomaly"
"767","0"
"768","soke"
"769","benono"
"770","Zanga"
"771","soroboa"
"772","zanga tsokena"
"773","dorolisy"
"774","zanga dorolisy"
"775",NA
"776",NA
