Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2013,NORTH CAROLINA,"FLOUNDER, SUMMER",196004.00,89,,Public,Recreational,,172735,MRIP
2013,RHODE ISLAND,"FLOUNDER, SUMMER",2192541.00,995,6750659.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2013,RHODE ISLAND,"FLOUNDER, SUMMER",646934.00,293,,Public,Recreational,,172735,MRIP
2013,VIRGINIA,"FLOUNDER, SUMMER",1223584.00,555,,Public,Recreational,,172735,MRIP
2013,VIRGINIA,"FLOUNDER, SUMMER",4794031.00,"2,175",8512931.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,CONNECTICUT,"FLOUNDER, SUMMER",315501.00,143,939829.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,CONNECTICUT,"FLOUNDER, SUMMER",457528.00,208,,Public,Recreational,,172735,MRIP
2012,DELAWARE,"FLOUNDER, SUMMER",305603.00,139,,Public,Recreational,,172735,MRIP
2012,DELAWARE,"FLOUNDER, SUMMER",,,,Confidential,Commercial,Paralichthys dentatus,172735,ACCSP
2012,MARYLAND,"FLOUNDER, SUMMER",259200.00,118,,Public,Recreational,,172735,MRIP
2012,MARYLAND,"FLOUNDER, SUMMER",165274.00,75,379770.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,MASSACHUSETTS,"FLOUNDER, SUMMER",891495.00,404,2341822.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,MASSACHUSETTS,"FLOUNDER, SUMMER",655909.00,298,,Public,Recreational,,172735,MRIP
2012,NEW HAMPSHIRE,"FLOUNDER, SUMMER",368.00,0,,Public,Recreational,,172735,MRIP
2012,NEW JERSEY,"FLOUNDER, SUMMER",8309512.00,"3,769",,Public,Recreational,,172735,MRIP
2012,NEW JERSEY,"FLOUNDER, SUMMER",2268793.00,"1,029",5433507.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,NEW YORK,"FLOUNDER, SUMMER",1237820.00,561,3652631.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,NEW YORK,"FLOUNDER, SUMMER",3513752.00,"1,594",,Public,Recreational,,172735,MRIP
2012,NORTH CAROLINA,"FLOUNDER, SUMMER",287525.00,130,,Public,Recreational,,172735,MRIP
2012,RHODE ISLAND,"FLOUNDER, SUMMER",641812.00,291,,Public,Recreational,,172735,MRIP
2012,RHODE ISLAND,"FLOUNDER, SUMMER",2409444.00,"1,093",6936944.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2012,VIRGINIA,"FLOUNDER, SUMMER",1702585.00,772,,Public,Recreational,,172735,MRIP
2012,VIRGINIA,"FLOUNDER, SUMMER",4122085.00,"1,870",7724867.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,CONNECTICUT,"FLOUNDER, SUMMER",401490.00,182,1004865.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,CONNECTICUT,"FLOUNDER, SUMMER",377008.00,171,,Public,Recreational,,172735,MRIP
2011,DELAWARE,"FLOUNDER, SUMMER",399987.00,181,,Public,Recreational,,172735,MRIP
2011,DELAWARE,"FLOUNDER, SUMMER",837.00,0,2026.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
2011,MARYLAND,"FLOUNDER, SUMMER",153874.00,70,,Public,Recreational,,172735,MRIP
2011,MARYLAND,"FLOUNDER, SUMMER",259408.00,118,462991.00,Public,Commercial,Paralichthys dentatus,172735,ACCSP
