"","WORDS_INDATA","NAME_OTHER","LOCAL_ANIRA","SCI_NAME"
"74","FLOVO, FLOVO, FLOVO, FLOVO FLOVO  FLOVO SARA, FLOVOHARA, FLOVOHARA, FLOVOHARA, FLOVOHO, LOVO, LOVOHARA, LOVOBE,  LOSOLOSO, LOVOFISAKA, LOVOKABO , OLOVO, OLOVOANGARERA, OLOVOKABO,  FIA OLOVO","","LOVO","PLECTORHINCHUS ALBOVITATUS, EPINEPHELUS MULTINOTATUS, PLECTOPOMUS LAEVIS, PLECTOPOMUS PUNCTATUS, EPINEPHELUS FUSCOGUTTATUS, CEPHALOPHOLIS SONNERATI<A0>, CEPHALOPHOLIS URODETA, PLECTROPOMUS PUNCTATUS, EPINEPHELUS FASCIATUS, EPINEPHELUS CAERULEOPUNCTATUS, ANYPERODON LEUCOGRAMMICUS, CEPHALOPHOLIS MINIATA, CEPHALOPHOLIS SEXMACULATA, PLECTORHINCHUS ALBOVITTATUS, PLECTROPOMUS LAEVIS, CEPHALOPHOLIS SONNERATI, ANYPERADON LEUCOGRAMMICUS"
"75","FLOVONAKANGA, FLOVONAKANGA, FIAKANGA,  FIANAKANGA, FIANAKANGA, FIANAKNGA, FIANAKOHO, FIANAKONJO, FIANAKOHO, FIANKANGA, FIIANAKANGA","","LOVOHARANAKANGA","CEPHALOPHOLIS MINIATA"
"76","FMALILY, FMALINIKY, MMALILY, MALILA","","MALILY","MACOLOR NIGER"
"77","ANTSERAKE MALINIKE","","ANTSERAKE ANTSIVO","AULOSTOMUS CHINERSIS"
"78",", FMENASOFY, FMENASOFY, FMENASOFY,MENASOFY","","MENASOFY","LETHRINUS LENTJAN"
"79","FMOLONTO, FMOLONTO, MOLONTO, MOLOTO","","MOLONTO,MOLOTO","CALOTOMUS SPINIDENS"
"80","FSALABARO, SABALARO,  SALABARO","","SALABARO","APRION VIRESCENS, LUTJANUS SANGUINEUS, LUTJANNUS GIBBUS, PLECTORHINCHUS SCHOTAF, LUTJANUS GIBBUS, LETHRINUS NEBULOSUS<A0>, LUTJANUS FULVUS, LUTJANUS RIVULATUS, LUTJANUS SEBAE, LETHRINUS NEBULOSUS"
"81","SORONALE,FSORONALE, FSORONALE,SORONALY","","SORONALE","LUTJANUS KASMIRA, LUTJANUS FULVIFLAMMA"
"82","FTABAKE, FTABAKE, FTABAKE, FTABAKY, FTABIKE, TABAKY,, FIA TABAKE, TABAK, TABAKA, TABAKE,  TABAVI, TABKE, TABOKE, TAHAKE, TAMBAKE , TOBAKE","","TABAKE","AROTHRON NIGROPUNCTATUS"
"83","FTSABEAKE, FTSABEAKE, FTSABEAKE, FTSABEAKY, FTSABEAKY, TSABEAKY,TSABEAKE , TSABEANE","","TSABEAKE","GNATHODENTEX AUROLINEATUS, LETHEINUS NEBULOSUS, LETHRINUS NEBULOSUS"
"84","FTSONTSO, FIA TSONTSO, TSONTSO, FTSON, FTSONSO, FTSONTSO, TSONTSO, TAOTSO, TSONTSO, ,  TSONTSO, TSONTSO, TAKALO, TSONTSO TSONTSONDAMBO, TSONTSONDAMBO, TSORITSO, TSOSO, TSOTSO","","TSONTSO,TSONTSO ALAOTSE,TSONTSO FANIA,TSONTSO FANIHY,TSONTSO SIKILY,TSONTSO TSIMALAHO,TSONTSOMBOLA,TSONTSOMKARA","LETHRINUS OBSOLETUS, BALISTOIDES VIRIDENSCENS, PSEUDOBALISTES FUSCUS, RHINECANTHUS ACULEATUS, SUFFLAMEN BURSA, PHINECANTHUS ACULEATUS, ABALISTES STELLATUS, BALISTAPUS UNDULATUS, CANTHIGASTER AMBOINENSIS, BALISTOIDES CONSPICILLUM, MELICHTHYS INDICUS, MELICHTHYS NIGER, BALISTOIDES VIRIDESCENS, PSEUDOBALISTES FURCUS, ABALISTES STELLATTUS, ODUNUS NIGER, OXYMONOCANTHUS LONGIROSTRIS, AMANSES SCOPES, ALUTERUS SCRIPTUS, CENTHEALUVRES DUMERILII, CENTHEAHINES PARDELIS, ODONUS NIGER, PERVAGER JAUTHINOSOMA"
"85","FTSOY, FTSOY, FTSOY, FTSOY , FTSOY , FTSOY  , FTSOY ANTSISY,FTSOY BE, FTSOY DAFE, FTSOY MALINIKE,FTSOY MALINIKE,FTSOY ROTSE, FTSOYMALINIKE, FTSOYMALINIKE, FTSOYMALINIKY, TSOY, FI A  TSOIKE, TSOY DAFE, TSOY DAFY, TSOY MENA","","TSOY","MULLOIDICHTHYS VANICAULEUSIS, MULLOIDICHTHYS FLAVOLINEATUS"
"86","TSY OMEA RENE","","TSIOMEARENE","PLECTORHINCUS ALBOVITTATUS, PLECTORHINCHUS GIBBOSUS"
"87","FVARAVARA,FVARAVARA, VARAVARA,VARELAVA","","VARAVARA,VARAVARAMAHOZATSE","LUTJANUS SANGUINEUS, PRISTIPOMOIDES FILAMENTOSUS, LUTJANUS BOHAR, LUTJANU ARGENTIMACULATUS, LUTJANUS ARGENTIMACULATUS"
