"","WORDS_INDATA","ENGLISH_SOPHIE","MALAGASY_SOPHIE","SOURCE","LOCAL_ANIRA","NAME_OTHER"
"103","ZANGAMBATO","Actinopyga lecanora","Zangambato","BV","",""
"104","FALALIJAKY,ZANGA KALALIJAKE,ZANGA FALALIJAKY,","","","","",""
"105","DAKAKE, ANAKAKE","Herring","Dakaka","BV","",""
"106","F,FOTY","Smalltooth sand tiger or dusky shark","Fia Foty","Caitlin","",""
"107","F,TSIFA, FIANTSIFA,","Unicornfish, Naso unicornis","Fay Tsifa","BV","",""
"108","FALOALO,FALOALO,FALOALO,FALOALO  , FALOALO BE,FALOALO KELY, ALOALO, ALOALO","Great Barracuda, Sphyaena bararcuda","Fia Aloalo","Caitlin","",""
"109","ONDANDOLO, ONDANDOLO","","","","",""
"110","FAMBITSOZO,","","","","",""
"111","ABASISY,AMBASISY, AMBATSISY,","","","","",""
"112","FANGERERA, FANGERERA, FANGERERA,  ANGARENA, ANGARERA","Blackspotted rubberlip or Painted sweetlips/ Plectorhinchus gaterinus or diagramma pictum","Fia Angerera","Caitlin","",""
"113","FANGY, FANGY, FIA ANGY","Zebra angelfish/ genicanthus caudovittatus","Fia Angy","Caitlin","",""
"114","ANGISINDOLO,","","","","",""
"115","ANGISI,  ANGISSY,","","","","",""
"116","FANTISY, FANTSISY, FANTSISY, FANTSISY, FANTSISY PETAKE, FANTSSY,ANTSISSY, ANTSISY, ANTSITSY, ATSISY","No idea but these seem to go together","Fia Antisy","","",""
"117","FARELOHA, ARILOHA ,ARY","Goldsilk seabream/ acanthopagrus berda","Fia Areloha","Caitlin","",""
"118","ANTSIVA, ANTSIVE,","Shell","","","",""
"119","FBABAKE, BABAKE, BABAKY,","","","","",""
"120","FBEMASO, FBEMASO, FBEMASO MENA","","Fia bemaso 
","","",""
"121","FBONDRO, FBONDRO, FMBONDRO, FIAMBONDRO, FIAMBONJO, FIAMPBONJO","","Fia Bondro","","",""
"122","FBOTIRA,","","","","",""
"123","FBOTSOTSOKO, FBOTSOTSOKE,  BOTOSAKA, BOTOSAKE, BOTOSANA, BOTSAKA, BOTSO, FIABOTOSAKA","Sillago Sihana","Fia BOTOSAKA","BV","",""
"124","FDABANDRIAKE, FDABANDRIAKE, DABADRIAKE, DABANDRIAKE, DABANJIAKE , TABANDRIAKE","Convict Surgeon, acanthurus triostegus","Fia Dabandriake","BV","",""
"125","FFITSE, FFITSE, FFITSE, FFSIFA, FIA FITSE, FITSE","Caesia caerulaureus","Fia Fitse","BV","",""
"126","FFOTIHOHY, FFOTIHOHY, FFOTIHOHY, FFOTIHOHY , FFOTY, FFOTY, FFOTY, FAY FOTY, FFOYY, FAY FOTY, FAY FOTY, FOTIOHY","Smalltooth sand tiger or dusky shark/ Odontaspis ferox or Carcharhinus obscurus","Fay Foty","BV","",""
"127","FGOGO, FGOGO, FGOGO,GOGO, GOGO, GOGO, GOGO FINGA","Madagascar sea catfish/ Arius madagascariensis","Fia gogo","Caitlin","",""
"128","FKAPITENE, FKAPITENY,","","Fia Kapitene","","",""
"129","FKAPOAKE, FKAPOAKE, FIA ANKAPOAKE, FIAKAPOAKE, FIAKAPOKE","","","","",""
