Word (MG),Word (ENG),In data examples,Source,Possible Local Name
Fia Bodoloha,Blue Barred parrotfish/ scarus ghobban,"""f.Bodoloha"", ""F.bodoloha"", ""F.Bodoloha"", ""F.BOdoloha"", ""F.BODOLOHA"", ""F.boloha"", ""F;bodoloha"", ""FIA BODOLOHA"", ""F,BODOLOHA"", ""BODOLOHA"", ""DOSOLOHA""",Caitlin,Bodoloha
Fia Bondro,,"""F.bondro"", ""F.Bondro"", ""F.MBONDRO"", ""FIAMBONDRO"", ""FIAMBONJO"", ""FIAMPBONJO""",,
,,"F.BOTIRA, ",,
Fia BOTOSAKA,Sillago Sihana,"""F.BOTSOTSOKO"", ""F.BOTSOTSOKE"",  ""BOTOSAKA"", ""BOTOSAKE"", ""BOTOSANA"", ""BOTSAKA"", ""BOTSO"", ""FIABOTOSAKA""",BV,
Fia Dabandriake,"Convict Surgeon, acanthurus triostegus","""F.Dabandriake"", ""F.DABANDRIAKE"", ""DABADRIAKE"", ""DABANDRIAKE"", ""DABANJIAKE"" , ""TABANDRIAKE""",BV,
Fia Fitse,Caesia caerulaureus,"""F.fitse"", ""F.Fitse"", ""F.FITSE"", ""F.fsifa"", ""FIA FITSE"", ""FITSE""",BV,
Fay Foty,Smalltooth sand tiger or dusky shark/ Odontaspis ferox or Carcharhinus obscurus,"""F.fotihohy"", ""F.Fotihohy"", ""F.FOTIHOHY"", ""F.FOTIHOHY "", ""f.foty"", ""F.foty"", ""F.FOTY"", ""Fay Foty"", ""F.foyy"", ""Fay foty"", ""fay foty"", ""FOTIOHY""",BV,
Fia gogo,Madagascar sea catfish/ Arius madagascariensis,"""F.gogo"", ""F.Gogo"", ""F.GOGO"",""gogo"", ""Gogo"", ""GOGO"", ""GOGO FINGA""",Caitlin,
Fia Joginy,,"""F.joginy"", ""F.Joginy"", ""F.JOGINY"",  ""JOGING NA LOGIMBATO"", ""JOGINY/ LOGIMBATO"", ""JOSINY"", ""JOGINY/LOGIMBATO"", ""JOGINY"", ""LOGINY"", ""LOGY"", ""LONGY""",,Logy
Fia Kabo,Frogfish/ antennariidae,"""F.kabo"", ""F.Kabo"", ""F.KABO"", ""KABO"", ""F.KABKABO"",, ""kabo"",   ""KAMBO"", ""KABA"", ""KABO "", ",BV,"""kabo"",""Kabo'"""
,," ""F.kabokaboke"",""KABOKABOKE"",""KABOKE""",,Kabo kabo
,," ""KAMBIN-TSOZO"", ""KAMBY""",,Hamby
Fia Kapitene,,"""F.kapitene"", ""F.kapiteny"", ",,
